# file...... Output/Qh/house_Qh_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:Qh,house_3_8B_tm_3_B_8_Meter_86_1022:Qh,house_3_1B_tm_3_B_1_Meter_87_1023:Qh,house_3_2B_tm_3_B_2_Meter_87_1024:Qh,house_3_3B_tm_3_B_3_Meter_87_1025:Qh,house_3_4B_tm_3_B_4_Meter_87_1026:Qh,house_3_5B_tm_3_B_5_Meter_87_1027:Qh,house_3_6B_tm_3_B_6_Meter_87_1028:Qh,house_3_7B_tm_3_B_7_Meter_87_1029:Qh,house_3_8B_tm_3_B_8_Meter_87_1030:Qh,house_3_9B_tm_3_B_9_Meter_87_1031:Qh,house_3_10B_tm_3_B_10_Meter_87_1032:Qh,house_3_11B_tm_3_B_11_Meter_87_1033:Qh,house_3_12B_tm_3_B_12_Meter_87_1034:Qh,house_3_13B_tm_3_B_13_Meter_87_1035:Qh,house_3_14B_tm_3_B_14_Meter_87_1036:Qh,house_3_15B_tm_3_B_15_Meter_87_1037:Qh,house_3_1A_tm_3_A_1_Meter_88_1038:Qh,house_3_2A_tm_3_A_2_Meter_88_1039:Qh,house_3_3A_tm_3_A_3_Meter_88_1040:Qh
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21883.3066385,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.5689484,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61218.7148114,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,-21866.3243935,+0,+0,+0,+0,+0,+0,-61203.0839604,+0,+0,-52460.7455524,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,-21860.2557036,+0,+0,+0,+0,+0,+0,-61180.7624385,+0,+0,-52441.6124558,+0,+0,-30593.381521,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,-21856.6006105,+0,+0,+0,+0,+0,+0,-61171.354718,-34961.8278986,+0,-52433.5485422,+0,+0,-30588.6771128,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,-21852.5567774,+0,+0,+0,+0,+0,+0,-61160.1161725,-34949.752276,+0,-52423.9153202,+0,+0,-30583.0571861,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,-21822.9971635,-56707.3658069,+0,+0,+0,+0,+0,-61072.63641,-34899.7621441,+0,-52348.9312425,+0,+0,-30539.3122121,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,-56804.8729072,+0,+0,+0,+0,+0,-61177.6514631,-34959.7727821,+0,-52438.9458548,+0,+0,-30591.8258522,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-56804.8071349,+0,+0,+0,+0,+0,-61177.5806265,-34959.7323027,+0,-52438.8851366,+0,+0,-30591.7904297,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-56797.334351,+0,+0,+0,+0,+0,-61169.5324456,+0,+0,-52431.9865648,+0,+0,-30587.7658709,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-56837.2143206,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-56760.4389925,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-56704.1117074,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-56697.183076,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-56685.4422521,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,-56692.3382104,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21923.4023983,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21927.5429459,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21935.1091038,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21889.4693749,+0,-26266.4973508
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26270.5936625
2010-08-16 00:33:30 UTC,+0,+0,+0,-30622.8319233,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26267.9516771
