# file...... Output/Qh/house_Qh_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:Qh,house_2_5B_tm_2_B_5_Meter_47_402:Qh,house_2_6B_tm_2_B_6_Meter_47_403:Qh,house_2_7B_tm_2_B_7_Meter_47_404:Qh,house_2_8B_tm_2_B_8_Meter_47_405:Qh,house_2_9B_tm_2_B_9_Meter_47_406:Qh,house_2_10B_tm_2_B_10_Meter_47_407:Qh,house_2_11B_tm_2_B_11_Meter_47_408:Qh,house_2_12B_tm_2_B_12_Meter_47_409:Qh,house_2_13B_tm_2_B_13_Meter_47_410:Qh,house_2_14B_tm_2_B_14_Meter_47_411:Qh,house_2_15B_tm_2_B_15_Meter_47_412:Qh,house_2_1C_tm_2_C_1_Meter_47_413:Qh,house_2_2C_tm_2_C_2_Meter_47_414:Qh,house_2_3C_tm_2_C_3_Meter_47_415:Qh,house_2_4C_tm_2_C_4_Meter_47_416:Qh,house_2_5C_tm_2_C_5_Meter_47_417:Qh,house_2_6C_tm_2_C_6_Meter_47_418:Qh,house_2_7C_tm_2_C_7_Meter_47_419:Qh,house_2_8C_tm_2_C_8_Meter_47_420:Qh
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,-34681.7358489,+0,+0,+0,+0,+0,-21676.4809029,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-43334.5626584,-34670.7825186,+0,+0,+0,+0,+0,-21669.634904,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-43326.2979718,-34664.1700182,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-43276.7550045,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-43326.5941532,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,-34685.1710245,-43356.983673,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,-34696.256891,-43370.8412802,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,-34680.9440164,-43351.6998082,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60819.6897004,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,-34681.3974164,-43352.2665694,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60787.095309,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,-34717.1991742,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34713.1280281,-60740.211843,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,-34702.0704959,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34709.6872533,-60734.1914185,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,-34742.312671,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34677.4823303,-60677.8415185,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,-21711.755351,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34679.8088527,-60681.9123029,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,-21712.0431727,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30347.5695078,+0,-34682.5416132,-60686.6938945,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,-21690.4741298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30366.8118632,+0,-34704.5326216,-60725.1722077,+0,-52048.4293629,+0,+0
2010-08-16 00:57:00 UTC,-21672.6524338,+0,+0,+0,+0,+0,+0,+0,+0,-43340.7730454,+0,+0,-30365.5831868,+0,+0,-60722.7152633,+0,-52046.3235242,+0,+0
2010-08-16 00:57:30 UTC,-21663.8349606,+0,+0,+0,+0,+0,+0,+0,+0,-43323.1403186,+0,+0,-30361.2670027,+0,+0,+0,-43371.3922688,-52038.9259807,+0,+0
2010-08-16 00:58:00 UTC,-21667.7752046,+0,+0,+0,+0,+0,+0,+0,+0,-43331.0198148,+0,+0,-30361.171446,+0,+0,+0,-43371.255766,-52038.7622053,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43346.1526149,+0,+0,-30339.5597316,-34674.8040303,+0,+0,-43340.3833898,-52001.7217107,-17337.8432272,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43370.2879134,+0,+0,+0,-34690.4300876,+0,+0,-43359.914257,-52025.1547299,-17345.6565117,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43378.6064403,+0,+0,+0,-34686.1253836,+0,+0,-43354.5338464,-52018.6993447,-17343.5040892,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43408.1226499,+0,+0,+0,-34688.1656085,+0,+0,-43357.0839049,-52021.75889,-17344.524235,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34665.3060768,+0,+0,-43328.5119842,-51987.4784688,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34643.1441445,+0,+0,-43300.8119868,-51954.2441776,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34658.060535,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30360.637029,-21686.8098715,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30343.6210562,-21674.6551475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30345.4973732,-21675.9954244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30344.9050012,-21675.5722857,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30342.2533956,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30336.4181723,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21667.8419849,+0,+0,+0,+0,+0,+0,+0,+0,-30393.1307631
2010-08-16 01:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21678.3460528,-21677.9126487,+0,+0,+0,+0,+0,+0,+0,-30383.8604807
2010-08-16 01:06:30 UTC,+0,+0,+0,+0,+0,-34714.9429413,+0,+0,+0,+0,-21697.7125291,-21697.2786503,+0,+0,+0,+0,+0,+0,+0,-30400.0325126
