# file...... Output/Qh/house_Qh_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:Qh,house_3_11B_tm_3_B_11_Meter_107_1222:Qh,house_3_12B_tm_3_B_12_Meter_107_1223:Qh,house_3_13B_tm_3_B_13_Meter_107_1224:Qh,house_3_14B_tm_3_B_14_Meter_107_1225:Qh,house_3_15B_tm_3_B_15_Meter_107_1226:Qh,house_3_1A_tm_3_A_1_Meter_109_1227:Qh,house_3_2A_tm_3_A_2_Meter_109_1228:Qh,house_3_3A_tm_3_A_3_Meter_109_1229:Qh,house_3_4A_tm_3_A_4_Meter_109_1230:Qh,house_3_5A_tm_3_A_5_Meter_109_1231:Qh,house_3_6A_tm_3_A_6_Meter_109_1232:Qh,house_3_7A_tm_3_A_7_Meter_109_1233:Qh,house_3_8A_tm_3_A_8_Meter_109_1234:Qh,house_3_9A_tm_3_A_9_Meter_109_1235:Qh,house_3_10A_tm_3_A_10_Meter_109_1236:Qh,house_3_11A_tm_3_A_11_Meter_109_1237:Qh,house_3_12A_tm_3_A_12_Meter_109_1238:Qh,house_3_13A_tm_3_A_13_Meter_109_1239:Qh,house_3_14A_tm_3_A_14_Meter_109_1240:Qh
2010-08-16 00:29:00 UTC,+0,+0,+0,-34912.1033651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,-34913.3632179,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52563.9697531,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,-34910.2829417,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52563.9327146,+0,+0,+0,+0,-21903.7376555,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52529.7321383,+0,+0,+0,+0,-21889.4856857,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52557.2944479,+0,+0,+0,+0,-21900.9713754,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52584.5287644,+0,+0,+0,+0,-21912.3203845,+0
2010-08-16 00:32:00 UTC,-17469.9739402,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52614.155921,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,-17496.3703741,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52492.8021089,+0,+0,+0,-65603.9150821,+0,+0
2010-08-16 00:33:00 UTC,-17484.5628632,-65548.0841483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52497.9128371,+0,+0,+0,-65610.3020457,+0,+0
2010-08-16 00:33:30 UTC,-17501.6848608,-65612.2687376,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43745.3507527,+0,-30624.741288,-65607.7108228,+0,+0
2010-08-16 00:34:00 UTC,+0,-65685.3775343,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43748.9585762,+0,-30627.2670703,-65613.1215107,+0,+0
2010-08-16 00:34:30 UTC,+0,-65650.516513,+0,+0,+0,+0,+0,-52447.5410506,+0,+0,+0,+0,+0,+0,-43707.010243,+0,-30597.8996813,-65550.2111897,+0,+0
