# file...... Output/Qh/house_Qh_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:Qh,house_3_15C_tm_3_C_15_Meter_92_1082:Qh,house_3_1A_tm_3_A_1_Meter_94_1083:Qh,house_3_2A_tm_3_A_2_Meter_94_1084:Qh,house_3_3A_tm_3_A_3_Meter_94_1085:Qh,house_3_4A_tm_3_A_4_Meter_94_1086:Qh,house_3_5A_tm_3_A_5_Meter_94_1087:Qh,house_3_6A_tm_3_A_6_Meter_94_1088:Qh,house_3_7A_tm_3_A_7_Meter_94_1089:Qh,house_3_8A_tm_3_A_8_Meter_94_1090:Qh,house_3_9A_tm_3_A_9_Meter_94_1091:Qh,house_3_10A_tm_3_A_10_Meter_94_1092:Qh,house_3_11A_tm_3_A_11_Meter_94_1093:Qh,house_3_12A_tm_3_A_12_Meter_94_1094:Qh,house_3_13A_tm_3_A_13_Meter_94_1095:Qh,house_3_14A_tm_3_A_14_Meter_94_1096:Qh,house_3_15A_tm_3_A_15_Meter_94_1097:Qh,house_3_1B_tm_3_B_1_Meter_95_1098:Qh,house_3_2B_tm_3_B_2_Meter_95_1099:Qh,house_3_3B_tm_3_B_3_Meter_95_1100:Qh
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61349.1848093,-30677.0619214,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61310.1653316,-30657.5503487,+0,-39419.424695,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61324.434911,-30664.6858093,+0,-39428.599684,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61343.0906373,-30674.0145491,+0,-39440.5948567,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61365.6875927,-30685.3140886,+0,-39455.1241423,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,-43811.9600605,+0,+0,-21908.6947389,+0,+0,-61334.247714,-30669.5926719,+0,-39434.9090748,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-43838.7708923,+0,+0,-21922.1021959,+0,+0,+0,+0,+0,-39459.0420461,+0,+0,+0,+0,+0,-21809.9244553
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-43837.9845129,+0,+0,-21921.7089464,+0,+0,+0,+0,+0,-39458.3342102,+0,+0,+0,+0,+0,-21848.0517205
2010-08-16 00:27:00 UTC,+0,-35064.4999028,+0,+0,-43836.9648015,+0,+0,-21921.1990131,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21847.8646995
2010-08-16 00:27:30 UTC,+0,-35066.7383224,+0,+0,-43824.6479728,+0,+0,-21915.0396609,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21844.6655291
2010-08-16 00:28:00 UTC,+0,-35058.5229162,+0,+0,-43822.1387765,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
