# file...... Output/Qh/house_Qh_file_010.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13B_tm_1_B_13_Meter_22_181:Qh,house_1_14B_tm_1_B_14_Meter_22_182:Qh,house_1_15B_tm_1_B_15_Meter_22_183:Qh,house_1_1C_tm_1_C_1_Meter_24_184:Qh,house_1_2C_tm_1_C_2_Meter_24_185:Qh,house_1_3C_tm_1_C_3_Meter_24_186:Qh,house_1_4C_tm_1_C_4_Meter_24_187:Qh,house_1_5C_tm_1_C_5_Meter_24_188:Qh,house_1_6C_tm_1_C_6_Meter_24_189:Qh,house_1_7C_tm_1_C_7_Meter_24_190:Qh,house_1_8C_tm_1_C_8_Meter_24_191:Qh,house_1_9C_tm_1_C_9_Meter_24_192:Qh,house_1_10C_tm_1_C_10_Meter_24_193:Qh,house_1_11C_tm_1_C_11_Meter_24_194:Qh,house_1_12C_tm_1_C_12_Meter_24_195:Qh,house_1_13C_tm_1_C_13_Meter_24_196:Qh,house_1_14C_tm_1_C_14_Meter_24_197:Qh,house_1_15C_tm_1_C_15_Meter_24_198:Qh,house_1_1A_tm_1_A_1_Meter_28_199:Qh,house_1_2A_tm_1_A_2_Meter_28_200:Qh
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52122.0975897,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52122.8296179,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52101.122196,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56416.7251229,-52073.910791,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56442.2777981,-52097.4962668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56441.2962642,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56395.6413725,+0,+0,+0,+0,-43385.6597894,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,-26018.0801124,-56367.1672156,+0,+0,+0,+0,-43363.7536836,-60704.6914806,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,-26017.0033755,-56364.8345696,+0,+0,+0,+0,-43361.9591023,-60702.1792962,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,-26028.2234841,-56389.1418457,+0,+0,+0,+0,-43380.6594896,-60728.3574479,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,-26033.6048528,-56400.8000585,+0,+0,+0,+0,-43389.6285363,-60740.9129667,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,-26033.7692485,-56401.1562058,+0,+0,+0,+0,+0,-60741.2965258,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60750.073044,+0,+0,-43395.144862,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47740.6750258,+0,+0,-60760.4088718,+0,+0,-43402.5280367,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47769.333896,+0,+0,-60796.8837185,+0,+0,-43428.5830536,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47764.9960136,+0,+0,+0,+0,+0,-43424.6392973,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47751.9008954,+0,+0,+0,+0,+0,-43412.7339597,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47710.9391685,+0,+0,+0,+0,+0,-43375.493884,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47737.7963503,+0,+0,+0,+0,+0,-43399.9109085,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47734.6750538,+0,+0,+0,+0,+0,-43397.073203,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47741.5112027,+0,+0,+0,+0,+0,+0,+0,-13027.2700409,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47731.956031,+0,+0,+0,+0,+0,+0,+0,-13034.0120217,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47721.4248937,+0,+0,+0,+0,+0,+0,+0,-13030.6664654,-26059.8924382
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13032.9894645,-26064.5381168
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26066.2645204
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26069.8147715
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47730.609497,+0,+0,+0,+0,+0,+0,+0,-26071.227557
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47735.5547267,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,-60754.9116557,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47719.1977336,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,-60708.7541104,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47743.0716608,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,-60728.1217837,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47756.4659595,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,-60740.3344563,+0,+0,+0,+0,+0,-26037.4883479,+0,+0,+0,+0,-47734.7054909,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,-60759.405009,+0,+0,+0,+0,+0,-26024.6407289,+0,+0,+0,+0,-47711.1518849,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,-60774.2238011,+0,+0,+0,+0,+0,-26031.5108177,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,-60771.7858123,+0,+0,-26031.2844495,+0,+0,-26029.3843374,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,-60756.0129047,+0,+0,-26031.2007036,+0,+0,-26029.3005994,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,-60742.2738807,-56412.6323498,+0,-26034.3884561,+0,-52062.7874279,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,-56442.1945218,+0,-26023.3540376,+0,-52040.721807,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,-56421.0525313,+0,+0,+0,-52052.7280631,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,-56442.351245,+0,+0,+0,-52057.7693287,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,-56418.5814372,+0,+0,+0,-52066.9384302,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,-56429.1546474,+0,+0,+0,-52038.6545808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-56457.1166569,+0,+0,+0,-52024.8027883,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43351.5815468,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,-56445.6706308,+0,+0,+0,-52033.5718984,+0,-56378.7270296,+0,+0,+0,+0,+0,+0,+0,-43358.8886047,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56396.6684876,+0,+0,+0,+0,+0,+0,+0,-43381.9160835,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56403.6376907,-52061.8309089,+0,+0,+0,+0,+0,+0,-43387.2769968,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56405.5742073,-52063.6183406,+0,+0,+0,+0,+0,+0,-43388.7666216,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56444.9882859,-52099.9980848,+0,+0,+0,+0,+0,+0,-43419.0850745,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56418.703423,-52075.7367898,+0,+0,+0,+0,+0,+0,-43398.8659953,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,-47693.6497634,+0,+0,-56366.5302738,-52027.5802454,+0,+0,+0,+0,+0,-52032.0795805,-43358.7328948,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-47709.2867828,+0,+0,-56385.0109177,-52044.6381376,+0,+0,+0,+0,+0,-52049.1392938,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-47666.377589,+0,+0,-56334.2985973,-51997.8299586,+0,+0,+0,+0,+0,-52002.3261172,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,-47688.2745058,+0,+0,-56360.1775142,+0,+0,+0,+0,+0,+0,-52026.2152688,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-47728.977164,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52070.6211535,+0,+0,+0,+0,-26032.2808751
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-47726.5667574,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52067.9914423,+0,+0,+0,+0,-26034.7823385
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-47727.026427,+0,-26035.9942951,+0,+0,+0,+0,+0,+0,+0,-52068.4929338,+0,+0,+0,+0,-26052.5457122
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,-26049.9597453,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26027.7140449
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,-26043.8475021,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26023.7458357
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,-26037.5899048,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13013.4118308,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,-26068.9577902,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43454.0185325,+0,-13012.2290326,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43426.6911226,+0,-13016.9583682,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43402.738843,+0,-13021.8198711,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43397.2987325,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43364.0035251,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43367.0837107,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43364.6450967,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43387.919155,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,-26030.4273721,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60729.0663908,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,-26025.7833224,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60718.2321722,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-26024.2642949,+0,+0,+0,+0,+0,+0,+0,+0,-43370.8949889,-60714.6883951,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-26009.6720598,+0,+0,+0,+0,+0,+0,+0,+0,-43346.5766346,-60680.645808,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-26022.0729019,+0,+0,+0,+0,+0,+0,+0,+0,-43367.2429733,-60709.5760403,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43367.7694643,-60710.3130603,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43370.5371894,-60714.1875216,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,-56457.0692335,+0,+0,+0,+0,+0,+0,+0,+0,-47677.0191325,-47679.2451762,+0,-60679.3924547,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,-56456.4969549,+0,+0,+0,+0,+0,+0,+0,+0,-47664.9900706,-47667.2153589,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,-56446.9657567,+0,+0,+0,+0,+0,+0,+0,+0,-47677.9665472,-47680.1926504,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,-56457.0902071,+0,+0,+0,+0,+0,+0,+0,+0,-47692.2200194,-47694.4470173,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,-56400.2154052,+0,+0,+0,+0,+0,+0,+0,+0,-47707.851637,-47710.2077298,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,-56369.6662763,+0,+0,+0,+0,-26038.7900184,+0,+0,+0,-47734.7141396,-47737.0720634,+0,+0,+0,+0,+0,-39063.0146788,+0,+0
2010-08-16 01:03:30 UTC,+0,-56382.5156327,+0,+0,+0,+0,-26034.0620898,+0,+0,+0,-47726.0470016,-47728.4043346,+0,+0,+0,+0,+0,-39049.8003317,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,+0,+0,-52053.7945654,-26028.072076,+0,+0,+0,-47715.2469583,+0,+0,+0,+0,+0,+0,-39040.8157294,+0,+0
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,-52030.9317478,-26016.6400137,+0,+0,+0,-47694.2897859,+0,+0,+0,+0,+0,+0,-39023.6684345,+0,+0
2010-08-16 01:05:00 UTC,+0,+0,+0,+0,+0,-52056.5463397,-26029.4480418,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39042.879582,+0,+0
2010-08-16 01:05:30 UTC,+0,+0,+0,+0,+0,-52070.6229204,+0,-56407.1155162,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39053.4371295,+0,-26082.0335783
2010-08-16 01:06:00 UTC,+0,+0,+0,+0,+0,-52053.9536636,+0,-56389.0582742,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39040.9350544,+0,-26068.8678585
2010-08-16 01:06:30 UTC,+0,+0,+0,+0,+0,-52077.4232576,+0,-56414.4820915,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26058.5651558
2010-08-16 01:07:00 UTC,+0,+0,+0,+0,+0,-52084.081279,+0,-56421.6945007,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26054.0168721
