# file...... Output/Qh/house_Qh_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:Qh,house_3_13B_tm_3_B_13_Meter_76_902:Qh,house_3_14B_tm_3_B_14_Meter_76_903:Qh,house_3_15B_tm_3_B_15_Meter_76_904:Qh,house_3_16B_tm_3_B_16_Meter_76_905:Qh,house_3_17B_tm_3_B_17_Meter_76_906:Qh,house_3_1C_tm_3_C_1_Meter_76_907:Qh,house_3_2C_tm_3_C_2_Meter_76_908:Qh,house_3_3C_tm_3_C_3_Meter_76_909:Qh,house_3_4C_tm_3_C_4_Meter_76_910:Qh,house_3_5C_tm_3_C_5_Meter_76_911:Qh,house_3_6C_tm_3_C_6_Meter_76_912:Qh,house_3_7C_tm_3_C_7_Meter_76_913:Qh,house_3_8C_tm_3_C_8_Meter_76_914:Qh,house_3_9C_tm_3_C_9_Meter_76_915:Qh,house_3_10C_tm_3_C_10_Meter_76_916:Qh,house_3_11C_tm_3_C_11_Meter_76_917:Qh,house_3_12C_tm_3_C_12_Meter_76_918:Qh,house_3_13C_tm_3_C_13_Meter_76_919:Qh,house_3_14C_tm_3_C_14_Meter_76_920:Qh
2010-08-16 00:29:00 UTC,+0,+0,+0,-17459.6686719,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39461.0469162,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,-17458.7696567,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39477.2387359,-35092.9803831
2010-08-16 00:30:00 UTC,+0,+0,+0,-17457.2505022,+0,+0,+0,+0,+0,+0,+0,-43860.2706483,+0,+0,+0,+0,+0,+0,-39474.8537284,-35090.8602131
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43887.0418161,+0,+0,+0,+0,+0,+0,-39498.9482136,-35112.2791825
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43848.8275247,+0,+0,+0,+0,+0,+0,-39464.5547317,-35081.7048442
2010-08-16 00:31:30 UTC,+0,-61108.3915413,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43825.5187114,+0,+0,+0,+0,+0,+0,+0,-35063.0560212
2010-08-16 00:32:00 UTC,+0,-61149.7977573,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43770.508925,+0,+0,+0,+0,-48149.0959506,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-61243.4523011,-43746.6121105,+0,+0,+0,+0,+0,+0,+0,+0,-43815.1709846,+0,+0,+0,+0,-48198.2263458,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,-61210.9170687,-43723.371965,+0,+0,+0,+0,+0,+0,+0,+0,-43807.4158951,+0,+0,+0,+0,-48189.6953776,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,-61267.593764,-43763.8565274,+0,+0,+0,+0,+0,+0,+0,+0,-43803.8468677,+0,+0,+0,+0,-48185.7692774,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-61327.4084524,-43806.5825808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48183.7630402,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,-61297.9366972,-43785.5306983,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48175.9396767,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,-43773.8203185,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,-43752.1033034,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21886.6004491,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21883.030324,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21883.0078357,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21903.3469977,-35041.4790407,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21922.3147396,-35071.823225,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-30671.1730431,+0,+0,+0,+0,+0,+0,+0,+0,-35052.3428604,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-30638.9917459,+0,+0,+0,+0,+0,+0,+0,+0,-35015.5647512,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,-30663.5979878,+0,+0,+0,+0,+0,+0,+0,+0,-35043.6857758,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,-30673.3857911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,-30674.6231339,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,-43717.2901912,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39436.7632219,+0,+0
2010-08-16 00:43:00 UTC,-43740.1022755,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39425.5312224,+0,+0
2010-08-16 00:43:30 UTC,-43710.4725579,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39453.0965262,+0,+0
2010-08-16 00:44:00 UTC,-43734.6565805,+0,+0,+0,-39362.0374912,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39427.751648,+0,+0
2010-08-16 00:44:30 UTC,-43745.8148066,+0,+0,+0,-39372.0801627,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39411.3177858,+0,+0
