# file...... Output/Qh/house_Qh_file_041.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_6A_tm_3_A_6_Meter_70_801:Qh,house_3_7A_tm_3_A_7_Meter_70_802:Qh,house_3_8A_tm_3_A_8_Meter_70_803:Qh,house_3_1A_tm_3_A_1_Meter_71_804:Qh,house_3_2A_tm_3_A_2_Meter_71_805:Qh,house_3_3A_tm_3_A_3_Meter_71_806:Qh,house_3_4A_tm_3_A_4_Meter_71_807:Qh,house_3_5A_tm_3_A_5_Meter_71_808:Qh,house_3_6A_tm_3_A_6_Meter_71_809:Qh,house_3_7A_tm_3_A_7_Meter_71_810:Qh,house_3_8A_tm_3_A_8_Meter_71_811:Qh,house_3_9A_tm_3_A_9_Meter_71_812:Qh,house_3_10A_tm_3_A_10_Meter_71_813:Qh,house_3_11A_tm_3_A_11_Meter_71_814:Qh,house_3_12A_tm_3_A_12_Meter_71_815:Qh,house_3_13A_tm_3_A_13_Meter_71_816:Qh,house_3_14A_tm_3_A_14_Meter_71_817:Qh,house_3_15A_tm_3_A_15_Meter_71_818:Qh,house_3_1C_tm_3_C_1_Meter_73_819:Qh,house_3_2C_tm_3_C_2_Meter_73_820:Qh
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,-43861.3012447,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,-43828.9055366,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,-43846.6696132,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,-52608.2197238,+0,-26305.1326052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,-13141.9061689,+0,+0,-52553.4167988,+0,-26277.7299048,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,-13153.2350227,+0,+0,-52598.7143094,+0,-26300.3796833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,-13151.9898411,+0,+0,-52593.7355503,+0,-26297.8901913,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,-13146.767455,+0,+0,-52572.8542599,+0,-26287.4490743,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48249.8246876,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,-52590.8410439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48230.1038721,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,-52612.3979932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48208.4946271,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,-52633.7580936,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48173.9835105,-48170.1720391
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48226.2272111,-48222.4105925
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48226.0695357,-48222.2529326
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26320.8103929,+0,+0,+0,+0,+0,-48185.5792752,-48181.7666618
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26315.1595525,+0,+0,+0,+0,+0,-48187.7822407,-48183.9694102
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52597.7540679,+0,+0,+0,-26304.1983038,+0,+0,+0,+0,+0,+0,-48194.297094
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52594.8210309,+0,+0,+0,-26302.731418,+0,+0,+0,+0,+0,+0,-48191.1809858
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52591.000084,+0,+0,+0,-26300.8204662,+0,+0,+0,+0,+0,+0,-48203.0180211
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52633.0925543,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48208.054088
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52585.3787246,+0,+0,-52589.0190594,+0,+0,+0,-39444.6353356,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52589.1835986,+0,+0,-52592.8242676,+0,+0,+0,-39447.4894916,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52558.0188634,+0,+0,-52561.6567986,+0,+0,+0,-39424.1118468,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52589.1020232,+0,+0,-43824.0834608,-39444.6975643,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52603.9258093,+0,+0,-43836.4365178,-39455.8163755,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52627.8921938,+0,+0,-43856.4083465,-39473.7927347,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52522.8165323,+0,+0,-43768.8459907,-39394.9791008,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43789.2512652,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43783.5490958,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43781.3319577,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,-13133.1994376,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,-13132.8807642,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,-13132.2783708,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,-56902.0003441,+0,-13133.9220656,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,-56900.1243985,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,-13148.9619435,+0,-56961.7900719,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,-13144.4845335,+0,-56942.3953134,+0,+0,-26282.9492968,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65697.7720595,+0,+0
2010-08-16 00:39:00 UTC,-13145.132431,+0,-56945.2018055,+0,+0,-26284.244651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65701.0098502,+0,+0
2010-08-16 00:39:30 UTC,-13147.7711044,+0,-56956.6317239,+0,+0,-26289.5202022,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65714.1963058,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,-56917.419233,-52537.704612,+0,-26269.8734565,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65665.0884628,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,-56920.9481227,-52540.9617128,+0,-26271.5020805,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65669.1592747,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-52573.8849739,+0,+0,+0,+0,+0,-56947.9251158,+0,+0,+0,+0,+0,+0,+0,-65710.3076514,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,-52541.6158001,+0,+0,+0,+0,+0,-56912.9722181,+0,+0,+0,+0,+0,+0,+0,-65669.9767715,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,-52523.5374251,+0,+0,+0,+0,+0,-56893.3903214,+0,+0,+0,+0,+0,+0,+0,-65647.3819321,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,-52578.2510397,+0,+0,+0,+0,+0,-56952.6542944,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,-52548.7444058,+0,+0,+0,+0,+0,-56920.6936866,+0,+0,+0,+0,+0,+0,+0,+0,-48158.9429293,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,-52609.8410759,+0,+0,+0,+0,+0,-56986.8715736,+0,+0,+0,+0,+0,+0,+0,+0,-48198.4798146,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56960.5679855,+0,+0,+0,+0,+0,+0,+0,+0,-48167.5269161,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26289.0389343,+0,+0,+0,-43811.4586565,+0,-48145.7354794,-48141.9267922
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26291.2942198,+0,+0,+0,-43815.2170852,+0,-48146.463349,-48142.6545905
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26264.1632308,+0,+0,+0,-43770.0033468,+0,-48190.3288788,-48186.5157973
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52525.3082614,+0,-52526.588683,+0,-26267.9663277,+0,+0,+0,-43776.3412003,+0,-48192.427707,-48188.6144187
2010-08-16 00:46:30 UTC,+0,-52534.5912677,+0,+0,+0,+0,+0,+0,-52517.8034556,+0,-52519.0836521,+0,+0,+0,+0,+0,-43770.0862632,+0,-48194.1357042,-48190.3222474
2010-08-16 00:47:00 UTC,+0,-52524.4066934,+0,+0,+0,+0,+0,+0,-52507.6236343,+0,-52508.9035249,+0,+0,+0,+0,+0,-43761.6018118,+0,+0,-48225.9983452
2010-08-16 00:47:30 UTC,+0,-52520.9058797,+0,+0,+0,+0,-43758.8059066,+0,-52504.1244584,+0,-52505.4042439,+0,+0,+0,+0,+0,+0,+0,+0,-48166.1416747
2010-08-16 00:48:00 UTC,+0,-52549.5281811,+0,+0,+0,+0,-43781.8700459,+0,-52531.7971614,+0,-52533.0777781,+0,+0,+0,+0,+0,+0,+0,+0,-48138.3976912
2010-08-16 00:48:30 UTC,+0,-52463.9550484,+0,+0,+0,+0,-43708.7173711,+0,-52444.0274785,+0,-52445.3054589,+0,+0,+0,-43706.2122209,+0,+0,+0,+0,-48148.6207927
2010-08-16 00:49:00 UTC,+0,-52533.9335969,+0,+0,+0,+0,-43767.0085871,+0,-52513.9661586,+0,-52515.2462397,+0,+0,+0,-43764.4991054,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,-43731.1382244,+0,-52470.9283559,+0,-52472.2071444,-52474.5586489,+0,+0,-43728.6314079,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,-43681.4377118,+0,+0,+0,-52412.5739304,-52414.9219917,+0,+0,-43678.9345895,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52443.9419592,-52446.2918318,+0,+0,-43705.0759146,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52518.310382,+0,+0,-43765.0908953,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52443.6179913,+0,+0,-43702.8477319,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52476.3702995,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-13125.698617,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52485.9968511,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-13141.372428,+0,+0,+0,-13139.7999026,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-13142.8425131,+0,+0,+0,-13140.7642307,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39418.7743666,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,-13149.3649549,+0,+0,+0,-13147.2849443,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39438.3343395,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,-13157.5474704,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39469.1185049,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,-26316.8668809,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39474.361788,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,-26326.0286325,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39488.1039846,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,-26299.8188651,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39448.7905663,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,-26296.101361,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39443.2144852,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,-26312.1463971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-52573.5787901,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-52591.2013073,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-52554.5775072,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,-52580.8692863,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,-52512.9985053,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,-52570.8627936,+0,+0,+0,+0,+0,+0,+0,+0,-26287.4132887,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,-52591.2210002,+0,+0,+0,+0,+0,+0,+0,+0,-26297.5932989,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,-52584.9096639,+0,+0,+0,+0,+0,+0,+0,+0,-26294.4373496,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26271.570643,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26286.0574601,+0,+0,+0,+0,+0,-48171.8116522,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48189.3361701,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30674.0580077,+0,+0,+0,+0,-48168.6579283,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30663.2681316,+0,+0,+0,+0,-48168.1701391,-48164.1991145
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52540.4387703,+0,+0,+0,+0,-30655.1093388,+0,+0,+0,+0,-48112.0737674,-48108.1086392
2010-08-16 01:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52535.3950982,+0,+0,+0,+0,-30652.1664216,+0,+0,+0,+0,-48113.24962,-48109.2843685
2010-08-16 01:05:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52507.892982,+0,+0,+0,+0,-30636.1192891,-43759.4377211,+0,+0,+0,-48131.1841266,-48127.2169896
2010-08-16 01:06:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52507.0887249,+0,+0,+0,+0,+0,-43758.7674532,+0,+0,+0,-48079.531742,-48075.5700354
2010-08-16 01:06:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52492.2771617,+0,+0,+0,+0,+0,-43746.4234991,+0,+0,+0,+0,-48120.0480201
