# file...... Output/Qh/house_Qh_file_033.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7B_tm_0_B_7_Meter_56_641:Qh,house_0_8B_tm_0_B_8_Meter_56_642:Qh,house_0_1B_tm_0_B_1_Meter_58_643:Qh,house_0_2B_tm_0_B_2_Meter_58_644:Qh,house_0_3B_tm_0_B_3_Meter_58_645:Qh,house_0_4B_tm_0_B_4_Meter_58_646:Qh,house_0_5B_tm_0_B_5_Meter_58_647:Qh,house_0_6B_tm_0_B_6_Meter_58_648:Qh,house_0_7B_tm_0_B_7_Meter_58_649:Qh,house_0_8B_tm_0_B_8_Meter_58_650:Qh,house_0_1B_tm_0_B_1_Meter_59_651:Qh,house_0_2B_tm_0_B_2_Meter_59_652:Qh,house_0_3B_tm_0_B_3_Meter_59_653:Qh,house_0_4B_tm_0_B_4_Meter_59_654:Qh,house_0_5B_tm_0_B_5_Meter_59_655:Qh,house_0_6B_tm_0_B_6_Meter_59_656:Qh,house_0_7B_tm_0_B_7_Meter_59_657:Qh,house_0_8B_tm_0_B_8_Meter_59_658:Qh,house_3_1A_tm_3_A_1_Meter_60_659:Qh,house_3_2A_tm_3_A_2_Meter_60_660:Qh
2010-08-16 14:18:30 UTC,-47567.4427513,-56216.788289,-51751.5501264,-56067.1286525,-51754.9603499,-30195.6216185,-64695.4410479,-21568.9666921,-38818.7515607,-56067.7300695,-12938.4792388,-56054.0386861,-38812.8015035,-30186.2276,-60362.7264257,-30186.8537628,-47430.5231191,-51743.4615358,-64040.176557,-46962.0427346
2010-08-16 14:19:00 UTC,-47601.4913655,-56257.0284285,-51793.8622691,-56112.9704402,-51797.276746,-30220.3115611,-64748.3384054,+0,-38850.4912215,-56113.6273738,-12948.8933612,-56099.1537748,-38844.0412715,-30210.5234617,-60411.3090829,-30211.150283,-47468.6971385,-51785.107191,-63970.8127261,-46911.2118632
2010-08-16 14:19:30 UTC,-47631.7101259,-56292.742279,-51826.913934,-56148.7792467,-51830.3317313,-30239.5978357,-64789.6585913,+0,-38875.2843066,-56149.4365376,-12957.163677,-56134.9549685,-38868.8316677,-30229.8035043,-60449.8619747,-30230.4308481,-47498.9902299,-51818.1552072,-63915.2435864,-46870.4621614
2010-08-16 14:20:00 UTC,-47645.0326264,-56308.4873916,-51843.8861527,-56167.1672728,-51847.3056544,-30249.501447,-64810.8767418,+0,-38888.0156968,-56167.8247472,-12961.40979,-56153.3495673,-38881.568935,-30239.7095607,-60469.6703917,-30240.3371729,-47514.6118511,-51835.1352277,-63884.7594909,-46848.1077074
2010-08-16 14:20:30 UTC,-47699.6516928,-56373.0385173,-51914.215562,-56243.3632836,+0,-30290.539647,-64898.8000254,+0,-38940.7717344,-56244.0215331,-12980.2736814,-56235.0703451,-38938.1559361,-30283.718625,+0,-30284.3474019,+0,-51910.5715409,-63843.3300958,-46817.7269602
2010-08-16 14:21:00 UTC,-47703.6952867,-56377.817413,-51919.7469738,-56249.3561205,+0,-30293.7673304,-64905.7152272,+0,-38944.9210186,-56250.01443,-12981.6567568,-56241.06197,-38942.304813,-30286.9452991,+0,-30287.5741634,+0,-51916.1023991,-63918.4503722,-46872.8138089
2010-08-16 14:21:30 UTC,-47689.6604023,-56361.2303744,-51898.9342608,-56226.8072309,+0,-30281.6227194,-64879.6958104,-21630.3985352,-38929.308755,-56227.465315,+0,-56220.0949599,-38927.7862904,-30275.6539203,+0,-30276.2824788,+0,-51896.74779,-63939.3528378,-46888.1419071
2010-08-16 14:22:00 UTC,-47685.7040409,-56356.5545739,-51890.718197,-56217.9057907,+0,-30276.8284906,-64869.4243385,-21626.9739458,-38923.1456296,-56218.5637858,+0,-56211.1948646,-38921.6234545,-30270.8609454,+0,-30271.4893741,+0,-51888.5321281,+0,-46932.8627617
2010-08-16 14:22:30 UTC,-47678.5719423,-56348.1255485,-51880.5418556,-56206.8805484,+0,-30270.8904029,-64856.7021874,-21622.7322809,-38915.5120391,-56207.5384333,+0,-56202.1987541,-38915.3941335,-30266.0162636,+0,+0,+0,-51880.2278348,+0,-47018.3015379
2010-08-16 14:23:00 UTC,-47675.5972076,-56344.6098772,-51878.0278859,-56204.1568657,+0,-30269.423454,-64853.5592993,-21621.6844174,-38913.6262321,-56204.8147234,+0,-56202.9504066,-38915.9146123,-30266.4210516,+0,+0,+0,+0,+0,-47045.9334085
