# file...... Output/Qh/house_Qh_file_045.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_18A_tm_3_A_18_Meter_76_881:Qh,house_3_19A_tm_3_A_19_Meter_76_882:Qh,house_3_20A_tm_3_A_20_Meter_76_883:Qh,house_3_21A_tm_3_A_21_Meter_76_884:Qh,house_3_22A_tm_3_A_22_Meter_76_885:Qh,house_3_23A_tm_3_A_23_Meter_76_886:Qh,house_3_24A_tm_3_A_24_Meter_76_887:Qh,house_3_25A_tm_3_A_25_Meter_76_888:Qh,house_3_26A_tm_3_A_26_Meter_76_889:Qh,house_3_1B_tm_3_B_1_Meter_76_890:Qh,house_3_2B_tm_3_B_2_Meter_76_891:Qh,house_3_3B_tm_3_B_3_Meter_76_892:Qh,house_3_4B_tm_3_B_4_Meter_76_893:Qh,house_3_5B_tm_3_B_5_Meter_76_894:Qh,house_3_6B_tm_3_B_6_Meter_76_895:Qh,house_3_7B_tm_3_B_7_Meter_76_896:Qh,house_3_8B_tm_3_B_8_Meter_76_897:Qh,house_3_9B_tm_3_B_9_Meter_76_898:Qh,house_3_10B_tm_3_B_10_Meter_76_899:Qh,house_3_11B_tm_3_B_11_Meter_76_900:Qh
2010-08-16 00:53:00 UTC,+0,+0,-52556.2335007,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56743.7299315,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,-52575.2882123,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56700.8329989,+0,-52345.6538745,+0,+0,+0
2010-08-16 00:54:00 UTC,-61365.8524659,+0,-52601.6571951,-56996.7014223,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56760.6022722,+0,-52400.8337751,+0,+0,+0
2010-08-16 00:54:30 UTC,-61413.3703706,+0,-52642.3890368,-57025.2030691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56746.7791448,+0,-52388.0720537,+0,+0,+0
2010-08-16 00:55:00 UTC,-61427.5481429,+0,+0,-57038.3677076,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52468.9386432,+0,+0,+0
2010-08-16 00:55:30 UTC,-61448.0484713,+0,+0,-57057.403097,+0,-43894.350825,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52417.3890798,+0,+0,+0
2010-08-16 00:56:00 UTC,-61385.5380769,+0,+0,-56999.3596517,+0,-43849.6970963,-57005.8465505,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52431.3464949,+0,+0,+0
2010-08-16 00:56:30 UTC,-61368.2046592,+0,+0,-56983.2648682,+0,-43837.3151273,-56989.7494785,+0,+0,+0,-39295.7091069,+0,+0,+0,+0,+0,-52392.4673645,+0,+0,+0
2010-08-16 00:57:00 UTC,-61397.0752648,+0,+0,-57010.0724004,+0,-43857.9385808,-57016.5608212,+0,+0,+0,-39255.2142611,-26172.0279117,+0,+0,+0,+0,-52338.4763822,+0,+0,+0
2010-08-16 00:57:30 UTC,-61399.5914709,+0,+0,-57012.4088001,+0,-43859.7360095,-57018.897553,+0,+0,+0,-39248.6146252,-26167.6277438,+0,+0,+0,+0,-52329.6772172,+0,+0,+0
2010-08-16 00:58:00 UTC,-61337.0456048,+0,+0,-56954.3324184,-17528.4063776,-43815.0569414,-56960.8129157,+0,+0,+0,-39297.3808789,-26200.1416138,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-56978.7532366,-17535.9225925,-43833.8442587,-56985.2372057,+0,+0,+0,-39314.4729048,-26211.5373609,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,-17524.0242894,+0,-56946.5731156,+0,+0,+0,-39335.2054205,-26225.3603274,-34963.128962,+0,+0,+0,+0,+0,+0,+0
