# file...... Output/Qh/house_Qh_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:Qh,house_2_26B_tm_2_B_26_Meter_48_482:Qh,house_2_27B_tm_2_B_27_Meter_48_483:Qh,house_2_28B_tm_2_B_28_Meter_48_484:Qh,house_2_29B_tm_2_B_29_Meter_48_485:Qh,house_2_1C_tm_2_C_1_Meter_48_486:Qh,house_2_2C_tm_2_C_2_Meter_48_487:Qh,house_2_3C_tm_2_C_3_Meter_48_488:Qh,house_2_4C_tm_2_C_4_Meter_48_489:Qh,house_2_5C_tm_2_C_5_Meter_48_490:Qh,house_2_6C_tm_2_C_6_Meter_48_491:Qh,house_2_7C_tm_2_C_7_Meter_48_492:Qh,house_2_8C_tm_2_C_8_Meter_48_493:Qh,house_2_9C_tm_2_C_9_Meter_48_494:Qh,house_2_10C_tm_2_C_10_Meter_48_495:Qh,house_2_11C_tm_2_C_11_Meter_48_496:Qh,house_2_12C_tm_2_C_12_Meter_48_497:Qh,house_2_13C_tm_2_C_13_Meter_48_498:Qh,house_2_14C_tm_2_C_14_Meter_48_499:Qh,house_2_15C_tm_2_C_15_Meter_48_500:Qh
2010-08-16 00:18:30 UTC,+0,+0,+0,-39077.5655337,+0,-52124.8214163,+0,-47783.630272,+0,+0,+0,+0,+0,+0,+0,+0,-52125.6950384,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-39069.1263457,+0,-52116.2062732,+0,-47775.732552,+0,+0,-30406.2661181,+0,+0,+0,+0,+0,-52117.0796954,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,-39080.0290941,+0,-52106.2291707,+0,-47766.5862892,+0,+0,-30400.4448812,+0,+0,+0,+0,+0,-52107.1023614,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,-39067.7647101,+0,+0,+0,-47780.4288728,+0,+0,-30409.2551415,+0,+0,+0,+0,+0,-52122.2027454,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,-39066.6808483,+0,+0,+0,-47773.8967354,+0,+0,-30405.0976931,+0,+0,+0,+0,+0,-52115.077068,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,-39074.1972095,+0,+0,+0,+0,+0,+0,-30422.0134709,+0,+0,+0,+0,+0,-52144.0699411,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30423.5408518,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,-52052.2405974,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,-52085.4469562,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13038.0459354,+0,+0
2010-08-16 00:24:00 UTC,+0,-52059.0084519,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13039.063256,+0,-17385.1220115
2010-08-16 00:24:30 UTC,+0,-52066.3700109,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13033.4669721,+0,-17377.6604573
2010-08-16 00:25:00 UTC,+0,-52034.1813483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65118.4506056,+0,+0,+0,-13027.295785,+0,-17369.4323815
2010-08-16 00:25:30 UTC,+0,-52036.5048779,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47795.4907774,-65155.9775364,+0,+0,+0,+0,+0,-17379.442744
2010-08-16 00:26:00 UTC,+0,-51991.5578171,-56328.007339,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47773.4013205,-65137.679282,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,-52048.9230999,-56390.1585024,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47726.2372041,-65073.3736451,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,-52057.7165963,-56399.685624,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47700.9777458,-65038.9337856,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,-52049.5672656,-56390.8564097,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47697.2776599,-65033.8889253,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,-52044.0966575,-56384.9293989,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47721.2177325,-65066.529876,+0,+0,+0,+0,+0,+0
