# file...... Output/Qh/house_Qh_file_011.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_3A_tm_1_A_3_Meter_28_201:Qh,house_1_4A_tm_1_A_4_Meter_28_202:Qh,house_1_5A_tm_1_A_5_Meter_28_203:Qh,house_1_6A_tm_1_A_6_Meter_28_204:Qh,house_1_7A_tm_1_A_7_Meter_28_205:Qh,house_1_8A_tm_1_A_8_Meter_28_206:Qh,house_1_9A_tm_1_A_9_Meter_28_207:Qh,house_1_10A_tm_1_A_10_Meter_28_208:Qh,house_1_11A_tm_1_A_11_Meter_28_209:Qh,house_1_12A_tm_1_A_12_Meter_28_210:Qh,house_1_13A_tm_1_A_13_Meter_28_211:Qh,house_1_14A_tm_1_A_14_Meter_28_212:Qh,house_1_15A_tm_1_A_15_Meter_28_213:Qh,house_1_1A_tm_1_A_1_Meter_29_214:Qh,house_1_2A_tm_1_A_2_Meter_29_215:Qh,house_1_3A_tm_1_A_3_Meter_29_216:Qh,house_1_4A_tm_1_A_4_Meter_29_217:Qh,house_1_5A_tm_1_A_5_Meter_29_218:Qh,house_1_6A_tm_1_A_6_Meter_29_219:Qh,house_1_7A_tm_1_A_7_Meter_29_220:Qh
2010-08-16 00:18:30 UTC,+0,+0,+0,-21740.2493599,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,-21738.3204964,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,-21737.3119473,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47784.9191182,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,-43424.1676242,+0,+0,+0,+0,+0,+0,+0,+0,-52100.3942126,+0,+0,+0,-47763.6414521,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,-43447.1093682,+0,+0,+0,+0,+0,+0,+0,+0,-52127.7651027,+0,+0,+0,-47788.7349119,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,-43442.616722,+0,+0,+0,+0,+0,+0,+0,+0,-52122.3737682,+0,+0,+0,-47783.7921703,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,-43435.7943131,+0,+0,+0,+0,+0,+0,+0,+0,-52110.4971592,+0,+0,-60799.8231555,-47772.9037699,+0,+0
