$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:8:3,75,0.64,8.1,0,0,0
08:15:5:8:6,75,0.64,8.1,0,0,0
08:15:5:8:9,75,0.64,8.1,0,0,0
08:15:5:8:12,75,0.64,8.1,0,0,0
08:15:5:8:15,75,0.64,8.1,0,0,0
08:15:5:8:18,75,0.64,8.1,0,0,0
08:15:5:8:21,75,0.64,8.1,0,0,0
08:15:5:8:24,75,0.64,8.1,0,0,0
08:15:5:8:27,75,0.64,8.1,0,0,0
08:15:5:8:30,75,0.64,8.1,0,0,0
08:15:5:8:33,75,0.64,8.1,0,0,0
08:15:5:8:36,75,0.64,8.1,0,0,0
08:15:5:8:39,75,0.64,8.1,0,0,0
08:15:5:8:42,75,0.64,8.1,0,0,0
08:15:5:8:45,75,0.64,8.1,0,0,0
08:15:5:8:48,75,0.64,8.1,0,0,0
08:15:5:8:51,75,0.64,8.1,0,0,0
08:15:5:8:54,75,0.64,8.1,0,0,0
08:15:5:8:57,75,0.64,8.1,0,0,0
08:15:5:9:0,75,0.64,8.1,0,0,0
08:15:5:9:3,75,0.64,8.1,0,0,0
08:15:5:9:6,75,0.64,8.1,0,0,0
08:15:5:9:9,75,0.64,8.1,0,0,0
08:15:5:9:12,75,0.64,8.1,0,0,0
08:15:5:9:15,75,0.64,8.1,0,0,0
08:15:5:9:18,75,0.64,8.1,0,0,0
08:15:5:9:21,75,0.64,8.1,0,0,0
08:15:5:9:24,75,0.64,8.1,0,0,0
08:15:5:9:27,75,0.64,8.1,0,0,0
08:15:5:9:30,75,0.64,8.1,0,0,0
08:15:5:9:33,75,0.64,8.1,0,0,0
08:15:5:9:36,75,0.64,8.1,0,0,0
08:15:5:9:39,75,0.64,8.1,0,0,0
08:15:5:9:42,75,0.64,8.1,0,0,0
08:15:5:9:45,75,0.64,8.1,0,0,0
08:15:5:9:48,75,0.64,8.1,0,0,0
08:15:5:9:51,75,0.64,8.1,0,0,0
08:15:5:9:54,75,0.64,8.1,0,0,0
08:15:5:9:57,75,0.64,8.1,0,0,0
08:15:5:10:0,75,0.64,8.1,0,0,0
08:15:5:10:3,75,0.64,8.1,0,0,0
08:15:5:10:6,75,0.64,8.1,0,0,0
08:15:5:10:9,75,0.64,8.1,0,0,0
08:15:5:10:12,75,0.64,8.1,0,0,0
08:15:5:10:15,75,0.64,8.1,0,0,0
08:15:5:10:18,75,0.64,8.1,0,0,0
08:15:5:10:21,75,0.64,8.1,0,0,0
08:15:5:10:24,75,0.64,8.1,0,0,0
08:15:5:10:27,75,0.64,8.1,0,0,0
08:15:5:10:30,75,0.64,8.1,0,0,0
08:15:5:10:33,75,0.64,8.1,0,0,0
08:15:5:10:36,75,0.64,8.1,0,0,0
08:15:5:10:39,75,0.64,8.1,0,0,0
08:15:5:10:42,75,0.64,8.1,0,0,0
08:15:5:10:45,75,0.64,8.1,0,0,0
08:15:5:10:48,75,0.64,8.1,0,0,0
08:15:5:10:51,75,0.64,8.1,0,0,0
08:15:5:10:54,75,0.64,8.1,0,0,0
08:15:5:10:57,75,0.64,8.1,0,0,0
08:15:5:11:0,75,0.64,8.1,0,0,0
08:15:5:11:3,75,0.64,8.1,0,0,0
08:15:5:11:6,75,0.64,8.1,0,0,0
08:15:5:11:9,75,0.64,8.1,0,0,0
08:15:5:11:12,75,0.64,8.1,0,0,0
08:15:5:11:15,75,0.64,8.1,0,0,0
08:15:5:11:18,75,0.64,8.1,0,0,0
08:15:5:11:21,75,0.64,8.1,0,0,0
08:15:5:11:24,75,0.64,8.1,0,0,0
08:15:5:11:27,75,0.64,8.1,0,0,0
08:15:5:11:30,75,0.64,8.1,0,0,0
