market_id,house_name,bid_price,bid_quantity,state,Q_min,Q_max,P_min,P_max
8,house_3_2C_tm_3_C_2_Meter_83_985,28.6507925889,2.6008739724,OFF,0,2.6008739724,20.8335196866,36.4680654911
8,house_3_2A_tm_3_A_2_Meter_94_1084,51.9247605579,2.59802033817,OFF,0,1.01895241959,51.8722302788,51.977290837
8,house_3_3A_tm_3_A_3_Meter_113_1260,28.5915729237,4.74601352248,OFF,0,4.74601352248,20.3071699761,36.8759758713
8,house_3_15C_tm_3_C_15_Meter_104_1196,27.3275291004,5.19645155845,OFF,0,5.19645155845,15.2660040058,39.3890541951
8,house_3_4C_tm_3_C_4_Meter_65_738,47.1404591078,5.54015140208,ON,0,5.54015140208,41.8499597297,52.4309584858
8,house_3_6C_tm_3_C_6_Meter_73_824,37.3533646806,5.20474188872,OFF,0,5.20474188872,34.1652923477,40.5414370135
8,house_3_14C_tm_3_C_14_Meter_104_1195,21.2624724755,3.03273040805,OFF,0,3.03273040805,1.35405112529,41.1708938258
8,house_3_2C_tm_3_C_2_Meter_103_1168,36.1883295671,5.20313958659,OFF,0,5.20313958659,33.0927276295,39.2839315048
8,house_3_13C_tm_3_C_13_Meter_92_1080,20.1137418331,6.07658458417,OFF,0,6.07658458417,13.690157599,26.5373260672
8,house_3_6A_tm_3_A_6_Meter_70_801,17.3207001877,1.30083004091,OFF,0,1.30083004091,0,34.6414003753
8,house_3_11B_tm_3_B_11_Meter_77_934,21.7655087407,2.17059444757,OFF,0,1.78760003756,0,43.5310174814
8,house_3_1B_tm_3_B_1_Meter_90_1053,25.4632151417,6.49558104348,OFF,0,6.49558104348,17.8417689639,33.0846613194
8,house_3_2A_tm_3_A_2_Meter_63_683,19.3872576998,3.83016029442,OFF,0,3.83016029442,11.265278128,27.5092372715
8,house_3_7C_tm_3_C_7_Meter_75_855,29.643458408,6.06504662926,OFF,0,6.06504662926,22.8382344704,36.4486823456
8,house_3_12B_tm_3_B_12_Meter_107_1223,40.4718579283,5.2093230451,ON,0,5.2093230451,37.0007659369,43.9429499198
8,house_3_17B_tm_3_B_17_Meter_64_713,32.4463819524,1.28409136971,ON,0,1.28409136971,23.4659982887,41.426765616
8,house_3_27B_tm_3_B_27_Meter_64_723,39.6078601889,4.70668698421,OFF,0,4.70668698421,36.8174696446,42.3982507331
8,house_3_3C_tm_3_C_3_Meter_100_1146,30.3946654946,4.77641575014,OFF,0,4.77641575014,26.872887424,33.9164435652
8,house_3_9C_tm_3_C_9_Meter_100_1152,40.6761590409,2.60606093545,ON,0,2.60606093545,38.047551895,43.3047661868
8,house_3_6B_tm_3_B_6_Meter_77_929,41.0062521377,5.20746099969,OFF,0,5.20746099969,37.9141932384,44.098311037
8,house_3_7B_tm_3_B_7_Meter_90_1059,19.8677205944,2.16603349185,OFF,0,2.16603349185,0.347621786209,39.3878194025
8,house_3_16B_tm_3_B_16_Meter_76_905,40.9063620073,3.90739158548,ON,0,3.90739158548,36.1781062392,45.6346177754
8,house_3_3C_tm_3_C_3_Meter_66_747,28.175744237,2.55533172894,OFF,0,2.55533172894,14.6354917317,41.7159967423
8,house_3_5B_tm_3_B_5_Meter_96_1110,31.2540140692,5.19628403393,OFF,0,5.19628403393,27.3215057314,35.186522407
8,house_3_26A_tm_3_A_26_Meter_76_889,35.2943846574,3.47247495394,OFF,0,3.47247495394,31.7289734267,38.859795888
8,house_3_5B_tm_3_B_5_Meter_64_701,26.8755547212,4.27749704552,OFF,0,4.27749704552,21.49291367,32.2581957723
8,house_3_9C_tm_3_C_9_Meter_76_915,37.9040919929,2.17180482869,OFF,0,2.17180482869,33.5313402081,42.2768437777
8,house_3_12B_tm_3_B_12_Meter_106_1208,42.019387567,6.08212852889,OFF,0,6.08212852889,40.5778476508,43.4609274832
8,house_3_16A_tm_3_A_16_Meter_76_879,38.6516553306,2.60437990881,OFF,0,2.60437990881,34.7651258864,42.5381847747
8,house_3_13C_tm_3_C_13_Meter_100_1156,31.9029362538,3.47444125092,OFF,0,3.47444125092,23.8734554146,39.9324170931
8,house_3_1B_tm_3_B_1_Meter_77_924,43.9111207835,3.47243138887,ON,0,3.47243138887,35.6403190856,52.1819224814
8,house_3_9C_tm_3_C_9_Meter_73_827,20.3432626332,1.73575485672,OFF,0,1.73575485672,0,40.6865252663
8,house_3_10C_tm_3_C_10_Meter_100_1153,39.1629233004,5.6437242959,OFF,0,5.6437242959,36.2531823104,42.0726642905
8,house_3_15B_tm_3_B_15_Meter_106_1211,35.5698054301,4.34396773506,ON,0,4.34396773506,22.9259166046,48.2136942555
