Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_7_output (kW),DG_152_output (kW),DG_18_output (kW),DG_57_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-01-28-07:47:47,136,True,22.8105670456,20.1785738577,1224.97032924,1811.14913812,50.0018607253,30.0084738548,20.0021540538,20.0035554849,40.0014889491,-79.4553699549,5379.3767642,5379.3767642,2078.2562418919897
2018-01-28-07:52:47,137,True,22.1842801408,19.9173477957,1226.18136149,1820.60178416,50.0,30.0002655121,20.0,20.0,40.0,-79.7538839551,5387.7401245,5387.7401245,2000.3533223602944
2018-01-28-07:57:47,138,True,22.417268798,19.9478551103,1225.0689167,1816.34772395,50.000921994,30.0036286666,20.0010680381,20.0017059082,40.0007379238,-77.9541335227,5311.0677121,5311.0677121,2004.6727979041066
2018-01-28-08:02:47,139,True,21.6968494093,19.9218494167,1227.32765131,1815.44915112,50.0001699181,30.0032480643,20.0002043941,20.0003531587,40.000136347,-75.7656725105,5265.4021124,5265.4021124,2026.2997136393376
2018-01-28-08:07:47,140,True,21.8472713567,19.8233815634,1226.00192606,1821.84823464,50.0048932577,30.1379732353,20.008423015,20.0204941468,40.0042154153,-77.7830562051,5267.1312263,5267.1312263,1980.3464147029465
2018-01-28-08:12:47,141,True,21.5792883407,19.5415141884,1226.46105391,1822.2474962,50.0,30.0005126823,20.0,20.0,40.0,-78.7550174398,5342.6859805,5342.6859805,1948.272710613204
2018-01-28-08:17:47,142,True,21.6831617843,19.0544352581,1222.37740164,1815.95622977,50.0001309904,30.0057654464,20.0004175807,20.0011716297,40.0001467308,-72.7351320386,5167.7204073,5167.7204073,2064.2888905102927
2018-01-28-08:22:47,143,True,21.1399956865,19.0139685665,1225.14771845,1820.06599776,50.0005143363,30.0019408787,20.0005949161,20.0008876244,40.0004115448,-74.5234178426,5252.603876,5252.603876,2027.4812973147136
2018-01-28-08:27:47,144,True,20.766494783,19.3367022646,1221.92266526,1820.44769985,50.0002361745,30.0125706747,20.0004682206,20.0011329309,40.0002037415,-74.8736646371,5226.4370063,5226.4370063,1924.49210096842
2018-01-28-08:32:47,145,True,21.3173387951,19.6308600224,1224.99486011,1819.46820623,50.0021361002,30.0138353146,20.0024915533,20.0039558107,40.0017103649,-74.2453666097,5279.2313692,5279.2313692,2062.298135523297
2018-01-28-08:37:47,146,True,20.6869056333,18.8721655863,1225.52724198,1821.65804223,50.0,30.0,20.0,20.0,40.0,-72.7354971515,5180.4676533,5180.4676533,1980.802293320969
2018-01-28-08:42:47,147,True,20.4240467227,19.2306986641,1225.00640975,1819.67470796,50.0000635522,30.0019570412,20.0002157242,20.0003981511,40.0000708898,-75.1167730428,5227.7235205,5227.7235205,1903.4751431555633
2018-01-28-08:47:47,148,True,20.6048340243,18.6327426419,1226.08808591,1822.77616304,50.0006348537,30.0581097724,20.0011293365,20.0041234316,40.0005272258,-72.1249241903,5203.6424544,5203.6424544,2027.4768347341853
2018-01-28-08:52:47,149,True,20.5071550252,18.9514750568,1224.97249376,1816.53720867,50.0,30.0001020802,20.0,20.0,40.0,-74.2306982353,5343.7863742,5343.7863742,2012.2925950607585
2018-01-28-08:57:47,150,True,20.8361070698,18.6907672178,1226.52349607,1823.41186013,50.0010348266,30.0117297755,20.0012958758,20.0019835185,40.0008341599,-72.9213711303,5310.6351505,5310.6351505,2099.876512511412
2018-01-28-09:02:47,151,True,20.9542342202,18.7494375864,1227.19499902,1825.64072043,50.0,30.0009073278,20.0,20.0,40.0,-73.5027396986,5402.1699534,5402.1699534,2136.4108517860745
2018-01-28-09:07:47,152,True,20.7684709685,18.6916657998,1229.21068332,1828.52385158,50.0,30.0001010528,20.0,20.0,40.0,-76.2620867677,5442.5135712,5442.5135712,1999.586724526163
