Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_13_output (kW),DG_57_output (kW),DG_7_output (kW),DG_18_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-02-10-02:19:39,127,True,61.5185001894,61.6681864385,854.575519484,1053.08051207,191.496066685,245.160112749,92.8346474003,107.08099251,108.948442243,-89.0861701101,3235.56854656,3235.56854656,2073.43277659
2018-02-10-02:24:39,128,True,61.9388990972,62.021587043,729.529298052,1220.86495467,193.59930173,248.665504136,93.8458163378,108.332918089,110.644599226,-92.2750732012,3282.85562325,3282.85562325,2087.54951005
2018-02-10-02:29:39,129,True,62.0628067783,62.5219932292,958.577762307,1156.00143486,195.033766777,251.056279862,94.5354569619,109.186766578,111.801426291,-103.46635185,3489.59464959,3489.59464959,2136.62914889
2018-02-10-02:34:39,130,True,62.8334709419,62.6883077613,665.38637274,1428.29659671,197.117770864,254.529621167,95.5373684604,110.427245483,113.482075634,-102.740034925,3489.87900569,3489.87900569,2167.29011785
2018-02-10-02:39:39,131,True,63.2171266899,63.2388612896,925.166752899,1187.89326547,198.903434878,257.505726509,96.3958674403,111.490140452,114.922126262,-104.280505048,3492.31123619,3492.31123619,2158.46851336
2018-02-10-02:44:39,132,True,63.2985991079,63.7513662055,981.134599195,1215.35267146,200.719670355,260.532785942,97.2690329059,112.57123314,116.386832486,-110.441127516,3643.45978458,3643.45978458,2234.45206875
2018-02-10-02:49:39,133,True,63.9924918266,64.0055223634,744.197753028,1456.64308071,202.675602827,263.792674637,98.2092419891,113.735479043,117.964198327,-111.23742877,3621.63627238,3621.63627238,2217.17263546
2018-02-10-02:54:39,134,True,64.219017857,64.5714074933,979.877083166,1172.95314359,204.622519249,267.03753408,99.145123273,114.89435752,119.534291395,-108.461946918,3620.36282426,3620.36282426,2272.76642302
2018-02-10-02:59:39,135,True,64.7729821118,65.0124340846,882.387550866,1376.26955155,205.822343149,269.037241093,99.7066422178,115.608538648,120.501891511,-115.890060559,3709.99758479,3709.99758479,2262.01713899
2018-02-10-03:04:39,136,True,65.2976284756,65.5484654801,846.203464504,1375.70428959,207.864888547,272.441506536,99.8864697802,116.824341447,122.149117214,-113.973979141,3765.56373494,3765.56373494,2362.82230438
2018-02-10-03:09:39,137,True,65.4145837198,65.547816218,975.193423682,1401.16215679,209.338414635,274.897387373,99.9746121692,117.701440935,123.337446457,-125.361695508,3771.41808715,3771.41808715,2220.31180825
2018-02-10-03:14:39,138,True,65.9450747063,66.082486139,904.070080617,1376.93466583,210.958869106,277.598144429,99.9965298156,118.665996865,124.644264092,-119.021726826,3717.74739847,3717.74739847,2268.60645633
2018-02-10-03:19:39,139,True,66.1094024972,66.2465909659,916.792252854,1352.94629075,211.834802803,279.058034452,99.9986169983,119.187386013,125.350662465,-118.637451551,3685.78147868,3685.78147868,2251.47243781
2018-02-10-03:24:39,140,True,66.8132611537,66.6938871989,872.91300009,1400.02999756,213.631089506,282.051847616,99.9997006027,120.25660445,126.799281553,-119.159030615,3686.99185841,3686.99185841,2256.78738448
2018-02-10-03:29:39,141,True,66.7529660243,66.9702274067,1007.92510304,1324.24382576,213.949233912,282.582089464,99.9997799496,120.445976482,127.055850447,-123.453334795,3739.88018635,3739.88018635,2251.7441878
2018-02-10-03:34:39,142,True,67.2748092757,67.2014992538,805.556590432,1460.85735197,215.62471854,285.374566847,99.9999723499,121.443289048,128.407049148,-119.27976814,3617.40428511,3617.40428511,2201.83993864
2018-02-10-03:39:39,143,True,67.2400440574,67.7558562839,1020.06369468,1226.2395258,217.072162043,287.786976504,100.000030849,122.304863348,129.574344804,-118.302940117,3676.8227132,3676.8227132,2287.25787027
2018-02-10-03:44:39,144,True,67.9625980921,67.7666241898,809.776050597,1507.89811956,217.628471271,288.714162446,100.000027768,122.63600021,130.022982886,-123.545945366,3658.50590441,3658.50590441,2199.83337884
2018-02-10-03:49:39,145,True,67.4085954884,68.3053205441,1074.39129447,1241.99233611,218.933122621,290.88859235,100.000029541,123.412580439,131.075127967,-124.110362169,3695.46195844,3695.46195844,2243.38778077
2018-02-10-03:54:39,146,True,68.4071865241,68.5123210199,815.347219024,1414.03234144,220.722549549,293.870916626,100.000000224,124.477708161,132.518185497,-118.031409497,3626.32735731,3626.32735731,2268.5371569
2018-02-10-03:59:39,147,True,68.6850704973,68.61047773,860.02120577,1468.13630579,221.750852836,295.584755546,100.00000022,125.089793467,133.347462394,-125.694060682,3659.40646435,3659.40646435,2207.02181726
2018-02-10-04:04:39,148,True,68.9811214762,69.0996952085,1005.1082967,1228.14882061,223.690011957,298.816687729,99.9999993742,126.244054883,134.911300546,-119.189839777,3642.54971808,3642.54971808,2292.95465525
2018-02-10-04:09:39,149,True,69.3011305485,69.289247493,891.15125677,1516.32720559,224.280646957,299.801079361,100.000000315,126.59562334,135.387619076,-132.238152098,3740.65046194,3740.65046194,2219.23696863
2018-02-10-04:14:39,150,True,69.8008271981,69.9614161163,959.724851766,1315.80989284,225.716142299,302.193571805,100.000000026,127.450084876,136.545276707,-122.744319206,3717.44460535,3717.44460535,2333.81493646
2018-02-10-04:19:39,151,True,70.0322880378,70.3189982491,993.138409425,1420.51372741,228.409259001,306.68209985,100.000000812,129.053130568,138.717145103,-134.073609399,3781.51896738,3781.51896738,2270.72846588
2018-02-10-04:24:39,152,True,70.3965163663,70.477370699,901.449333389,1519.32189808,229.191278396,307.985465545,100.000000947,129.518618309,139.347805917,-134.753181626,3809.75949984,3809.75949984,2295.03143748
2018-02-10-04:29:39,153,True,70.3188213022,70.8486549081,1058.31335634,1422.12819329,230.620397428,310.367330766,100.000001,130.369284425,140.500321337,-139.899548279,3861.37879386,3861.37879386,2292.79457918
2018-02-10-04:34:39,154,True,70.8977440373,71.0191481142,994.391770213,1550.99381602,230.919719445,310.866200774,100.000000905,130.547452288,140.741710044,-144.606593742,3928.29415342,3928.29415342,2295.98365064
2018-02-10-04:39:39,155,True,71.2936644421,71.4352629131,916.773124644,1512.205661,232.225427224,313.042380502,100.000000796,131.324659308,141.794700224,-136.136889998,3889.95765298,3889.95765298,2379.36603539
